Date,FEDFUNDS,GDP,CPIAUCSL,CUSR0000SAH1,CPILFESL,PCE,PRFI,PNFI,EXPGS,HOUST,DSPI,AAA,BAA,WTISPLC,IMPGS,GCE,FGCE,GDPCTPI,PCEPI,PCEPILFE,PAYEMS,UNRATE,INDPRO,CUMFNS
1976-02-01,-0.020533880903490842,0.0006387766473305856,0.0017921146953405742,0.001980198019801982,0.005366726296959001,-0.00016445651112317883,0.005247168213805775,0.0011301994881864896,0.0002688536228931948,0.016323851923312427,0.0007399333848168155,-0.005813953488371992,-0.016330451488952957,0.07795698924731176,0.003473505166728952,-0.0002417009167058337,-0.00017750932265048203,0.003258188542638818,0.0012951969778736139,0.003986496193075562,0.003987108772913084,-0.025316455696202556,0.009995829246072008,0.01252078429326886
1976-03-01,0.014675052410901612,0.0004899363124297729,0.0017889087656530744,0.0019762845849802257,0.005338078291814874,0.0006179964310408792,0.0033892973671800775,0.0011156862746837248,0.0010903478894395136,-0.010782155110049318,0.00034613700726171537,-0.0035087719298246833,-0.011718750000000111,0.005818786367414841,0.002918402542291032,-0.0002808367724240757,7.925268107578098e-05,0.0031491334007396343,0.001509108548022109,0.0032910033983188924,0.0029435647584246105,-0.012987012987013102,0.0021385612350595107,0.0009981890917896141
1976-04-01,-0.004132231404958553,0.0003512964225931281,0.0017857142857142794,0.0,0.0035398230088496963,0.0009991249656813306,0.0009860726197947756,0.0012200809699480786,0.0014385552186424455,-0.0025438956362964227,0.00023518610396999762,-0.014084507042253391,-0.017786561264822143,0.005785123966942196,0.0029730981145563717,-0.000408831583024738,2.6921726422157732e-05,0.0035595737284954687,0.0022602518566354757,0.003921988091417861,0.003086732112134394,0.013157894736842257,0.004986233759058489,0.0034303463414571134
1976-05-01,0.09751037344398328,0.00014537878674447668,0.005347593582887722,0.0039447731755424265,0.005291005291005346,-0.0010172867662909812,-0.0019189214865865667,0.0011656077437542933,0.0011862464260501415,0.006195142171137924,-6.692819055265087e-05,0.021428571428571352,-0.008048289738430636,0.0,0.002845207559077023,-0.0005198250222914202,-0.0002377049285574584,0.0037255117035370766,0.004760882016036527,0.004723514578967913,0.00025223225546078254,-0.038961038961038974,0.004255981968196876,0.002806960852577367
1976-06-01,0.035916824196597474,5.501780925398769e-05,0.005319148936170359,0.005893909626719207,0.0035087719298245723,0.0013724259372700498,-0.002213243773065532,0.0011100891849460393,0.0010729079900149152,0.0033456750247440326,2.237519919345843e-06,0.004662004662004504,0.0030425963488844854,0.0,0.002658250395319195,-0.0005485185555956784,-0.00028915757175052015,0.004278853847515363,0.00438205849869977,0.004065040650406582,0.0008069396812588892,0.027027027027026973,0.0010765932211123097,-0.0013273046253624576
1976-07-01,-0.031021897810219135,9.494717125635432e-05,0.005291005291005346,0.0078125,0.006993006993006867,0.00035104115042550177,0.001024426996744543,0.0008993033771607095,0.0010847785723981929,-0.008883856682726066,0.0007009418893335617,-0.006960556844547439,-0.007077856420626971,0.0,0.0019735968777327972,-0.00039629028327026194,7.83828581107926e-06,0.004696427183573215,0.005072360953461974,0.005491990846681949,0.0021543035678290856,0.026315789473684292,0.005550340402650233,0.004814352917677178
1976-08-01,-0.0037664783427494575,0.00025122165610769187,0.0052631578947368585,0.005813953488372103,0.005208333333333259,0.0002669063668607752,0.006562308991780785,0.0007450868321896564,0.0012406553020054556,0.013950238649942825,0.0002964385052945939,-0.012850467289719725,-0.018329938900203624,0.0,0.0013051000466730578,-0.00014753920734211778,0.0005365478568644111,0.005482636621980452,0.005505558496559093,0.005777108644655193,0.001973675940010411,0.0,0.0068996302070114535,0.0039923135539872145
1976-09-01,-0.007561436672967825,0.00040052422892089545,0.00523560209424101,0.005780346820809301,0.005181347150259086,0.0005335813943412315,0.009179174554388991,0.0008858891205261177,0.0009172071245753255,0.01416678672101046,7.334825065008488e-05,-0.008284023668638896,-0.024896265560165998,0.14215283483977004,0.0013221768718321147,0.00012711415402910653,0.0008579902986713961,0.005824559877906754,0.005615808500930131,0.005848360370396044,0.0023587272909766366,-0.02564102564102566,0.003319283574834575,0.000361725162490778
1976-10-01,-0.043809523809523854,0.000496731736399525,0.005208333333333259,0.0019157088122603305,0.005154639175257714,0.0002135798701297098,0.007410201092693969,0.0013783350297180696,3.9455161763291e-05,-0.007296292703469431,-0.00022183173805401246,-0.007159904534606243,-0.011702127659574568,0.0,0.0022195182212008113,0.0003656878867870361,0.0008283626916441023,0.005604012189842411,0.005235419357090487,0.004914515124247343,0.00023782105842884427,0.013157894736842257,-0.00031625127846257595,-0.0036895312722031726
1976-11-01,-0.013944223107569598,0.0005869082419198701,0.003454231433505983,0.0019120458891013214,0.0034188034188034067,0.0009013314745609513,0.003440953307540351,0.0021899821536675024,-0.0011140847082115046,0.0009923957223467728,0.0013027882827949533,-0.008413461538461564,-0.006458557588804981,0.0,0.0038294043920392706,0.0005820292015052964,0.0006067028171214961,0.005496376667927905,0.004548453178709,0.0045460807273729475,0.0041170802517800364,0.01298701298701288,0.015337430195172974,0.01065623455941167
1976-12-01,-0.06060606060606055,0.000583012882067635,0.005163511187607606,0.0,0.0034071550255536653,0.0017834004614134535,0.001415730900856893,0.0024411911405048947,-0.0014218252427516953,0.012792088079139896,0.0005399534615144752,-0.032727272727272716,-0.011917659804983827,0.0,0.004301224941620552,0.0006156662915741684,0.00037051197365234323,0.00515704296116426,0.005599336374948249,0.0054168952276467675,0.0025922233300099684,0.0,0.010781295921050482,0.008181332500037719
