,Date,FEDFUNDS,GDP,CPIAUCSL,CUSR0000SAH1,CPILFESL,PCE,PRFI,PNFI,EXPGS,IMPGS,GCE,FGCE,GDPCTPI,PCEPI,PCEPILFE,BSHCFAW,PAYEMS,UNRATE,INDPRO,CUMFNS,HOUST,DSPI,ICS_ALL,DGS2,DGS5,DGS10,AAA,BAA,DTWEXBGS,WTISPLC
196,1970-11-01,5.6,,39.6,36.5,41.8,741.3416072795148,,,,,,,,20.105,20.892,,70409,5.9,36.3961,75.5823,740.671073017764,758.6275807683143,72.4,,,,8.05,9.38,,3.31
197,1970-12-01,4.9,,39.8,36.8,42.0,742.1992163204698,,,,,,,,20.194,20.997,,70792,6.1,37.232,77.3356,754.5918151209323,759.0166644397488,,,6.00,6.48,7.64,9.12,,3.56
198,1971-01-01,4.14,795.3319227497008,39.9,36.8,42.1,743.5134856188906,484.98544963975576,575.7303444661068,506.5430386533829,499.0398487344784,648.6775704679909,581.174861527938,20.85,20.237,21.08,6.2,70865,5.9,37.5184,77.7712,751.0977752014095,760.5029270876298,,,.,.,7.36,8.74,,3.56
199,1971-02-01,3.72,,39.9,36.6,42.2,744.0003917818757,,,,,,,,20.296,21.16,,70807,5.9,37.4469,77.6099,746.2214939768189,760.9263399244361,78.1,,5.79,6.09,7.08,8.39,,3.56
200,1971-03-01,3.71,,40.0,36.4,42.2,744.1320389717617,,,,,,,,20.363,21.228,,70860,6.0,37.4063,77.2511,755.4858521040676,761.3324979540639,,,5.35,6.12,7.21,8.46,,3.56
201,1971-04-01,4.16,796.6749302499435,40.1,36.4,42.4,744.8744804789088,495.6388875095585,577.7328003904282,505.524462132494,506.1615987675815,649.773367111443,581.3512482532717,21.13,20.443,21.307,6.1,71036,5.9,37.6164,77.4594,759.3877844605119,761.6859258001741,,,5.16,5.58,7.25,8.45,,3.56
202,1971-05-01,4.63,,40.3,36.5,42.6,744.7103248132803,,,,,,,,20.528,21.4,,71247,5.9,37.8073,77.7834,762.51071482389,762.0072375649802,80.2,,,,7.53,8.62,,3.56
